"from","to","weight","SE","P","ran_SD","edge"
"PIJN","PIJN",0.332,0.053,0,0.151,"PIJN__to__PIJN"
"PIJN","MOE",0.014,0.042,0.732,0.093,"PIJN__to__MOE"
"PIJN","STRESS",-0.014,0.052,0.788,0.177,"PIJN__to__STRESS"
"PIJN","ENMO_log",-0.008,0.049,0.878,0,"PIJN__to__ENMO_log"
"MOE","PIJN",-0.019,0.046,0.683,0.063,"MOE__to__PIJN"
"MOE","MOE",0.298,0.045,0,0.098,"MOE__to__MOE"
"MOE","STRESS",-0.078,0.041,0.061,0.074,"MOE__to__STRESS"
"MOE","ENMO_log",-0.063,0.055,0.252,0.071,"MOE__to__ENMO_log"
"STRESS","PIJN",0.071,0.041,0.081,0.037,"STRESS__to__PIJN"
"STRESS","MOE",0.043,0.035,0.227,0,"STRESS__to__MOE"
"STRESS","STRESS",0.348,0.048,0,0.144,"STRESS__to__STRESS"
"STRESS","ENMO_log",0.101,0.056,0.069,0.117,"STRESS__to__ENMO_log"
"ENMO_log","PIJN",-0.072,0.066,0.27,0.269,"ENMO_log__to__PIJN"
"ENMO_log","MOE",-0.096,0.047,0.04,0.16,"ENMO_log__to__MOE"
"ENMO_log","STRESS",0.026,0.032,0.416,0,"ENMO_log__to__STRESS"
"ENMO_log","ENMO_log",0.122,0.061,0.045,0.201,"ENMO_log__to__ENMO_log"
